step,handy-end,set,handy-mid,ratio
5000000,2.90E-03,6.73E-04,6.80E-04,4.264705882
7000000,1.35E-03,3.03E-04,3.23E-04,4.179566563
9000000,6.33E-04,1.32E-04,1.55E-04,4.083870968
11000000,3.53E-04,6.70E-05,9.01E-05,3.917869034
14000000,1.57E-04,2.90E-05,5.00E-05,3.14
5000000,2.93E-03,6.78E-04,6.90E-04,4.246376812
7000000,1.34E-03,3.06E-04,3.33E-04,4.024024024
9000000,6.39E-04,1.35E-04,1.58E-04,4.044303797
11000000,3.52E-04,6.70E-05,9.00E-05,3.911111111
14000000,1.57E-04,2.90E-05,5.00E-05,3.14
5000000,2.91E-03,6.69E-04,6.97E-04,4.175035868
7000000,1.34E-03,3.01E-04,3.24E-04,4.135802469
9000000,6.02E-04,1.26E-04,1.49E-04,4.045698925
11000000,3.30E-04,6.80E-05,8.40E-05,3.928571429
14000000,1.48E-04,2.70E-05,4.03E-05,3.660049628
